Empresa_LE,Especie_LE,Código Centro_LE,Periodo Información_1er Semestre 2023,Periodo Información_1er Semestre 2024,Periodo Información_2do Semestre 2023,Periodo Información_nan,ciclo_dias,Toneladas Cosechadas
22,5,121,1.0,0.0,0.0,0.0,453.0,5838046.0
15,5,126,1.0,0.0,0.0,0.0,515.0,380129.0
22,5,131,1.0,0.0,0.0,0.0,453.0,2876484.0
10,5,146,1.0,0.0,0.0,0.0,456.0,4695245.0
34,4,148,1.0,0.0,0.0,0.0,242.0,6511832.0
35,5,153,1.0,0.0,0.0,0.0,485.0,5244903.0
32,5,159,1.0,0.0,0.0,0.0,425.0,3816881.0
13,5,165,1.0,0.0,0.0,0.0,91.0,10863.0
23,4,177,1.0,0.0,0.0,0.0,181.0,42071.0
13,5,197,1.0,0.0,0.0,0.0,180.0,3424.0
24,6,209,1.0,0.0,0.0,0.0,303.0,110261.0
24,4,210,1.0,0.0,0.0,0.0,149.0,37958.0
24,6,211,1.0,0.0,0.0,0.0,333.0,2420008.0
24,6,213,1.0,0.0,0.0,0.0,364.0,2247761.0
24,6,216,1.0,0.0,0.0,0.0,333.0,2162839.0
16,5,219,1.0,0.0,0.0,0.0,487.0,4530169.0
16,5,220,1.0,0.0,0.0,0.0,454.0,268953.0
11,5,225,1.0,0.0,0.0,0.0,514.0,3859284.0
31,4,237,1.0,0.0,0.0,0.0,150.0,137.0
17,5,238,1.0,0.0,0.0,0.0,484.0,4293716.0
17,5,239,1.0,0.0,0.0,0.0,453.0,5384875.0
17,5,240,1.0,0.0,0.0,0.0,453.0,578885.0
5,4,258,1.0,0.0,0.0,0.0,244.0,3860406.0
5,5,262,1.0,0.0,0.0,0.0,423.0,3211743.0
29,5,264,1.0,0.0,0.0,0.0,425.0,3272093.0
6,4,265,1.0,0.0,0.0,0.0,149.0,3339.0
13,5,272,1.0,0.0,0.0,0.0,454.0,3681754.0
5,4,276,1.0,0.0,0.0,0.0,244.0,3709763.0
13,5,277,1.0,0.0,0.0,0.0,425.0,3407181.0
28,5,283,1.0,0.0,0.0,0.0,425.0,3508124.0
28,5,284,1.0,0.0,0.0,0.0,395.0,3407365.0
16,5,294,1.0,0.0,0.0,0.0,515.0,4805027.0
13,4,296,1.0,0.0,0.0,0.0,303.0,3010237.0
29,5,304,1.0,0.0,0.0,0.0,426.0,4674828.0
8,5,305,1.0,0.0,0.0,0.0,392.0,2359122.0
13,5,316,1.0,0.0,0.0,0.0,150.0,493.0
12,5,318,1.0,0.0,0.0,0.0,453.0,4300895.0
6,4,324,1.0,0.0,0.0,0.0,149.0,5193.0
13,5,325,1.0,0.0,0.0,0.0,454.0,3568909.0
28,5,339,1.0,0.0,0.0,0.0,456.0,3833549.0
34,5,341,1.0,0.0,0.0,0.0,484.0,5031042.0
28,5,351,1.0,0.0,0.0,0.0,425.0,3910059.0
12,5,354,1.0,0.0,0.0,0.0,454.0,2501246.0
34,4,365,1.0,0.0,0.0,0.0,122.0,2921.0
34,4,366,1.0,0.0,0.0,0.0,336.0,3846439.0
17,5,370,1.0,0.0,0.0,0.0,426.0,5543565.0
13,5,378,1.0,0.0,0.0,0.0,456.0,2731336.0
