Empresa_LE,Especie_LE,Código Centro_LE,Periodo Información_1er Semestre 2023,Periodo Información_1er Semestre 2024,Periodo Información_2do Semestre 2023,Periodo Información_nan,ciclo_dias,Toneladas Cosechadas
8,5,319,0.0,1.0,0.0,0.0,395.0,2279356.0
8,5,326,0.0,1.0,0.0,0.0,396.0,2574475.0
8,5,331,0.0,1.0,0.0,0.0,396.0,2931233.0
13,4,332,0.0,1.0,0.0,0.0,243.0,4207274.0
13,4,333,0.0,1.0,0.0,0.0,243.0,355733.0
13,5,336,0.0,1.0,0.0,0.0,426.0,3299033.0
32,5,340,0.0,1.0,0.0,0.0,424.0,3679587.0
29,5,345,0.0,1.0,0.0,0.0,424.0,3818233.0
34,4,347,0.0,1.0,0.0,0.0,336.0,361355.0
8,5,355,0.0,1.0,0.0,0.0,393.0,2287747.0
8,5,361,0.0,1.0,0.0,0.0,395.0,2215809.0
12,5,362,0.0,1.0,0.0,0.0,455.0,5010797.0
15,5,363,0.0,1.0,0.0,0.0,579.0,3005497.0
8,5,371,0.0,1.0,0.0,0.0,395.0,310285.0
29,5,373,0.0,1.0,0.0,0.0,487.0,4192726.0
12,5,377,0.0,1.0,0.0,0.0,426.0,2069293.0
11,5,382,0.0,1.0,0.0,0.0,426.0,1488106.0
34,5,383,0.0,1.0,0.0,0.0,486.0,452202.0
15,5,384,0.0,1.0,0.0,0.0,669.0,3374888.0
13,5,390,0.0,1.0,0.0,0.0,487.0,45848.0
25,6,397,0.0,1.0,0.0,0.0,424.0,3637583.0
19,5,401,0.0,1.0,0.0,0.0,730.0,3374786.0
10,5,408,0.0,1.0,0.0,0.0,577.0,2903503.0
3,5,409,0.0,1.0,0.0,0.0,487.0,3608753.0
10,5,410,0.0,1.0,0.0,0.0,639.0,2794564.0
8,5,416,0.0,1.0,0.0,0.0,609.0,472917.0
8,5,417,0.0,1.0,0.0,0.0,547.0,5227619.0
8,5,418,0.0,1.0,0.0,0.0,516.0,3349149.0
8,5,420,0.0,1.0,0.0,0.0,515.0,4860987.0
3,5,422,0.0,1.0,0.0,0.0,546.0,718371.0
18,5,425,0.0,1.0,0.0,0.0,546.0,5534288.0
18,5,432,0.0,1.0,0.0,0.0,546.0,576201.0
36,7,442,0.0,0.0,0.0,1.0,424.0,3291972.0
36,7,442,0.0,0.0,0.0,1.0,424.0,3291972.0
36,0,439,0.0,0.0,0.0,1.0,424.0,3291972.0
36,1,437,0.0,0.0,0.0,1.0,424.0,3291972.0
36,2,438,0.0,0.0,0.0,1.0,424.0,3291972.0
36,3,440,0.0,0.0,0.0,1.0,424.0,3291972.0
36,7,442,0.0,0.0,0.0,1.0,424.0,3291972.0
0,7,441,0.0,0.0,0.0,1.0,424.0,3291972.0
